#1014 - Bungo

#owner = OTM
#controller = OTM
culture = kyushuan
religion = shinto
capital = "Funai"
trade_goods = tropical_wood
hre = no
base_tax = 4 
base_production = 2
base_manpower = 3
is_city = no
#add_core= OTM
discovered_by = chinese
discovered_by = MCH
discovered_by = KHA
discovered_by = OIR
discovered_by = QNG

# = { discovered_by = POR }
# = { #owner = HSK #controller = HSK #add_core= HSK remove_core = OTM }
# = { #owner = TKG #controller = TKG #add_core= TKG remove_core = HSK }


native_size = 5
native_ferocity = 1
native_hostileness = 3
