#1827 - Raska

#owner = SER
#controller = SER
culture = serbian
religion = matrem
capital = "Trgoviste"
trade_goods = grain
hre = no
base_tax = 3
base_production = 3
base_manpower = 1
is_city = no
#add_core= SER
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian


# = {
	#owner = TUR
	#controller = TUR
	#add_core= TUR
}
# = { capital = "Novi Pazar" }
# = { unrest = 12 } # Serb rebellion under D. Brankovic
# = { #controller = HAB } # Occupied by Austrian forces
# = { #controller = TUR }
# = { revolt = { type = nationalist_rebels size = 2 } #controller = REB } # Belgrade is occupied by Serbian rebels
# = { revolt = {} #controller = TUR }
# = { revolt = { type = nationalist_rebels size = 2 } #controller = REB } # The Second Serbian uprising
# = { revolt = {} #controller = TUR }
