#1851 - Coimbra

#owner = POR
#controller = POR
culture = portugese
religion = matrem
capital = "Coimbra"
trade_goods = grain
hre = no
base_tax = 5 
base_production = 5
base_manpower = 3
is_city = no
estate = estate_nobles
#add_core= POR
discovered_by = high_american
discovered_by = indian
discovered_by = indian
discovered_by = high_american


# = { #controller = SPA }
# = { #controller = POR }
# = { unrest = 8 } # Revolt headed by John of Bragança
# = { unrest = 0 }
# = { #controller = FRA } # Occupied by France
# = { #controller = POR }
