#277 - Grodno

#owner = LIT
#controller = LIT 
culture = byelorussian
religion = orthodox
hre = no
base_tax = 4 
base_production = 4
trade_goods = wool
base_manpower = 3
capital = "Grodno"
is_city = no 
#add_core= LIT



discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = {
	#owner = PLC
	#controller = PLC
	#add_core= PLC
} # Union of Lublin
# = { religion = catholic } # Union of Lublin
# = { unrest = 5 } # Kosciuszko uprising, minimize the Russian influence
# = { unrest = 0 }
# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
} # Third partition of Poland
