#1965 - Buzuluk

#owner = NOG
#controller = NOG
culture = nogaybak
religion = sunni
capital = "Buzuluk"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= NOG



discovered_by = indian
discovered_by = indian
discovered_by = high_american
#discovered_by = nomad_group


# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
	remove_core = NOG 
} # Russian conquest of Kazan
# = { capital = "Buzulukskaya" culture = russian religion = orthodox }
# = { revolt = { type = anti_tax_rebels size = 2 name = "Yemelyan Pugachev" } #controller = REB unrest = 6 } # Pugachev rebellion
# = { revolt = {} #controller = RUS unrest = 0 } # Pugachev is captured


native_size = 5
native_ferocity = 1
native_hostileness = 3
