#1972 - Udmurtia

#owner = KAZ
#controller = KAZ
capital = "Izhkar"
culture = uralic
religion = finnish_pagan_reformed #Sami Shamanism
trade_goods = iron
hre = no
base_tax = 2 
base_production = 2
base_manpower = 2
is_city = no
#add_core= KAZ



discovered_by = SIB
discovered_by = NOG
discovered_by = GOL
discovered_by = high_american
discovered_by = high_american
#discovered_by = nomad_group
discovered_by = indian


# = { #owner = RUS #controller = RUS #add_core= RUS remove_core = KAZ } # Russian conquest of Kazan
# = { culture = russian religion = orthodox }
# = { capital = "Izhevsk" }
# = { revolt = { type = anti_tax_rebels size = 2 name = "Yemelyan Pugachev" } #controller = REB unrest = 6 } # Pugachev rebellion
# = { revolt = {} #controller = RUS unrest = 0 } # Pugachev is captured
