#2048 - Garhjat

#owner = GRJ
#controller = GRJ
culture = garjati
religion = hinduism
capital = "Kalahandi"
trade_goods = tropical_wood
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = no
estate = estate_nobles
#add_core= GRJ



discovered_by = chinese
#discovered_by = nomad_group
discovered_by = indian
discovered_by = indian 
discovered_by = indian

# = { discovered_by = POR }

# = {
	#owner = NAG
	#controller = NAG
	#add_core= NAG
} # Marathas
# = {
	#owner = GBR
	#controller = GBR
}
# = {
	#owner = NAG
	#controller = NAG
}
# = {
	#owner = GBR
	#controller = GBR
	#add_core= GBR
}
