#2074 - Ladakh

#owner = LDK
#controller = LDK
culture = kashmiri
religion = vajrayana
capital = "Leh"
trade_goods = wool
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = no
#add_core= LDK



discovered_by = indian
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group
discovered_by = chinese


# = {
	#owner = KSH
	#controller = KSH
	#add_core= KSH
} #Shah Mirs
# = {
	#owner = LDK
	#controller = LDK
	remove_core = KSH
}



# = { discovered_by = ENG }
# = { discovered_by = GBR }

