# 2165 - Pu'er

#owner = MNG
#controller = MNG
#add_core= MNG
culture = bai
religion = buddhism
capital = "Pu'er"
trade_goods = tea
hre = no
base_tax = 2 
base_production = 2
base_manpower = 2
is_city = no
#add_core= CDL



discovered_by = chinese
#discovered_by = nomad_group
discovered_by = indian

# = { discovered_by = SPA }#Novus Atlas Sinensis

# = {
	#owner = CZH
	#controller = CZH
	#add_core= CZH
} # Three Feudatories - Wu Sangui titled as Prince of Pingxi in Yunnan
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
}
