# 2353 - Tortkara

#owner = NOG
#controller = NOG
culture = khazak
religion = sunni
capital = "Tortkara"
trade_goods = naval_supplies
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = no
#add_core= KZH
#add_core= NOG



discovered_by = KZH
discovered_by = KAZ
#discovered_by = nomad_group
discovered_by = indian
discovered_by = indian


# = { #controller = KZH #owner = KZH remove_core = NOG } # Kazakhs take over
# = { discovered_by = RUS }
# = { #owner = OIR #controller = OIR } # Dzungarian invasion
# = { #owner = KZH #controller = KZH }


native_size = 5
native_ferocity = 1
native_hostileness = 3
