#2412 - Kyzyl-Yar

#owner = CRI
#controller = CRI
culture = crimean
religion = sunni
hre = no
base_tax = 4
base_production = 4
trade_goods = salt
base_manpower = 3
capital = "Kyzyl-Yar"
is_city = no
#add_core= CRI



discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = { #add_core= TUR } # Crimea becomes a vassal of the Ottoman Empire
# = { #controller = RUS } # Russian occupation
# = { #controller = CRI } # Treaty of Nish
# = { #controller = RUS } # Russo-Turkish War
# = { #owner = RUS #controller = RUS remove_core = CRI } # Treaty of Kuchuk-Kainarji


native_size = 5
native_ferocity = 1
native_hostileness = 3
