#2413 - Tyn

#owner = CRI
#controller = CRI
culture = crimean
religion = sunni
hre = no
base_tax = 3
base_production = 3
trade_goods = grain
base_manpower = 2
capital = "Tyn"
is_city = no
#add_core= CRI


discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS 
}
# = { revolt = { type = anti_tax_rebels size = 2 name = "Stepan Razin" } #controller = REB unrest = 6 } # Razin rebellion
# = { revolt = { } #controller = RUS unrest = 0 } # Razin captured
# = { revolt = { type = anti_tax_rebels size = 2 name = "Yemelyan Pugachev" } #controller = REB unrest = 6 } # Pugachev rebellion
# = { revolt = {} #controller = RUS unrest = 0 } # Pugachev is captured
