#243 - Lincoln
#+ Northern Cambridgeshire

#owner = ENG
#controller = ENG
culture = english
religion = catholic
hre = no
base_tax = 4
base_production = 4
trade_goods = cloth
base_manpower = 2
capital = "Nottingham"
is_city = no
#add_core= ENG



discovered_by = high_american
discovered_by = indian
discovered_by = indian
discovered_by = high_american


# = { unrest = 5 } # Start of the War of the Roses
# = { unrest = 2 } # Coronation of Edward IV
# = { unrest = 5 } # Rivalry between Edward IV & Warwick
# = { unrest = 0 revolt = { type = revolutionary_rebels size = 1 } #controller = REB }
# = { revolt = {} #controller = ENG } # Readeption of Henry VI
# = { unrest = 8 } # Unpopularity of Warwick & War with Burgundy
# = { unrest = 2 } # Murder of Henry VI & Restoration of Edward IV
# = { unrest = 8 } # Revulsion at Supposed Murder of the Princes in the Tower
# = { unrest = 0 } # Battle of Bosworth Field & the End of the War of the Roses
# = { religion = protestant }
# = { revolt = { type = revolutionary_rebels size = 2 } #controller = REB }
# = { revolt = {} #controller = ENG } # End of First English Civil War
# = {	#owner = GBR
	#controller = GBR
	#add_core= GBR
	remove_core = ENG
}
