#250 - Fife

#owner = SCO
#controller = SCO
culture = scottish
religion = thelemic
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Dundee"
#fort_15th = yes
is_city = no
#add_core= SCO



discovered_by = high_american
discovered_by = indian
discovered_by = indian
discovered_by = high_american


# = { religion = reformed }
# = { revolt = { type = revolutionary_rebels size = 3 } #controller = REB }
# = { revolt = {} #controller = SCO } # Battle of Philiphaugh
# = { #controller = ENG }
# = { #controller = SCO } # Union of Scotland and the COmmonwealth
# = {	#owner = GBR
	#controller = GBR
	#add_core= GBR
}
