#262 - Krakow

#owner = POL
#controller = POL
culture = polish
religion = catholic
capital = "Kraków"
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
is_city = no
fort_15th = yes
 #Jagiellonian University established in 1364 by Casimir III the Great
#add_core= POL
#add_core= KRA


discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian

extra_cost = 10

add_permanent_province_modifier = {
	name = inland_center_of_trade_modifier
	duration = -1
}

# = {
	#owner = PLC
	#controller = PLC
	remove_core = POL
	#add_core= PLC
} # Union of Lublin
# = { unrest = 6 }
# = { unrest = 0 } # After a 6 week siege, Maximillian drops his bid for the Polish throne
# = { revolt = { type = revolutionary_rebels size = 3 } #controller = REB } # Civil war, Polish succession
# = { revolt = {} #controller = PLC } # Coronation of Sigismund III
# = { revolt = { type = revolutionary_rebels size = 2 } #controller = REB } # The war of Polish succession
# = { revolt = {} #controller = PLC }
# = { unrest = 8 } # Became a center of the first Polish uprisings against the Polish king & Russia
# = { unrest = 0 } # Occupied by Russia, uprisings suppressed by Russian troops
# = { unrest = 5 } # Kosciuszko uprising
# = { unrest = 0 } # The end of the uprising
# = { #owner = HAB #controller = HAB #add_core= HAB } # Third partition
# = {
	#owner = POL
	#controller = POL
	#add_core= POL
	remove_core = HAB
} # The Duchy of Warsaw is established after the treaty of Tilsit, ruled by Frederick Augustus I of Saxony
# = {
	#owner = KRA
	#controller = KRA
} # The Free city of Krakow


native_size = 5
native_ferocity = 1
native_hostileness = 3
