# - Tiahuanoco

#owner = PCJ
#controller = PCJ
#add_core= PCJ
culture = aimara
religion = inti
capital = "Tiahuanoco"
is_city = no
trade_goods = grain
hre = no
base_tax = 3 
base_production = 3
base_manpower = 2



discovered_by = south_american
discovered_by = andean


# = {
	#owner = INC
	#controller = INC
	#add_core= INC
}
# = {
	#discovered_by = SPA
	#owner = SPA
	#controller = SPA
	#add_core= SPA
	culture = castillian
	religion = catholic
}# The death of Atahualpa
# = { revolt = { type = nationalist_rebels size = 2 } #controller = REB } # Bolivian War of Independence


native_size = 5
native_ferocity = 1
native_hostileness = 3
