#287 - Kouban

#owner = CRI
#controller = CRI
culture = crimean
religion = sunni
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Stavropol"
is_city = no
#add_core= CRI



discovered_by = high_american
discovered_by = indian
discovered_by = indian
discovered_by = high_american
#discovered_by = nomad_group


# = { #add_core= TUR } # Crimea becomes a vassal of the Ottoman Empire
# = {
	#owner = RUS
 #controller = RUS remove_core = CRI #add_core= RUS remove_core = TUR } # Treaty of Kuchuk-Kainarji
# = { religion = orthodox culture = russian } # Kouban Cossacks, Stavropol founded
