#294 - Tver

#owner = TVE
#controller = TVE  
culture = russian
religion = orthodox
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Tver"
is_city = no
#add_core= TVE



discovered_by = high_american
discovered_by = high_american
#discovered_by = nomad_group
discovered_by = KAZ

# = { discovered_by = SIB }

# = {	#owner = MOS #controller = MOS #add_core= MOS remove_core = TVE } # Muscovite conquest
# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
	remove_core = MOS
}
# = { base_tax = 1
base_production = 1 # Treasury reforms
# = { unrest = 5 } # "Time of troubles"
# = { unrest = 0 } # Order returned, Romanov dynasty
# = { base_tax = 1ase_production = 1 # Governmental reforms and the absolutism
# = { base_tax = 1ase_production = 1 # Legislative reform


native_size = 5
native_ferocity = 1
native_hostileness = 3
