# - Macaya

#owner = CLA
#controller = CLA
#add_core= CLA
is_city = no



discovered_by = south_american
discovered_by = andean

culture = aimara
religion = inti
capital = "Macaya"
trade_goods = grain
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1

# = {
	#owner = INC
	#controller = INC
	#add_core= INC
}
# = {
	#discovered_by = SPA
	#owner = SPA
	#controller = SPA
	#add_core= SPA
	culture = castillian
	religion = catholic
}# The death of Atahualpa
# = { revolt = { type = nationalist_rebels size = 3 } #controller = REB } # Bolivian War of Independence
