# - Wismar

#owner = MKL
#controller = MKL
#add_core= MKL
culture = pommeranian
religion = catholic
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Wismar"
is_city = no



discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian


#  = { religion = protestant }
# = { #owner = SWE #controller = SWE #add_core= SWE } #Peace of Westphalia
# = { #owner = MKL #controller = MKL #add_core= MKL } #Pledged to Mecklenburg-Schwerin
# = { hre = no } # The Holy Roman Empire is dissolved
