#Eastern and Northern Småland - Includes parts under Östgötalag

#add_core= SWE
#owner = SWE
#controller = SWE
culture = swedish
religion = catholic
hre = no
base_tax = 2
base_production = 2
trade_goods = naval_supplies
base_manpower = 1
capital = "Kalmar"
is_city = no
fort_15th = yes # Kalmar Slott
discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian

# = { #owner = DAN #controller = DAN }
# = { #owner = SWE #controller = SWE } # date unknown
# = { revolt = { type = revolutionary_rebels size = 0 } #controller = REB } # The Axelsson Tott Family
# = { revolt = {} #controller = SWE } # The Demise of the Axelsson Tott Family
# = { #controller = DAN } # Conquered by King Hans at high summer
# = { #controller = SWE } # Hans I become King and Sweden a Danish Vassal
# = { #owner = DAN #controller = DAN } # Danish loyalists at Swedish DoW and breaking of vassalage
# = { #owner = SWE #controller = SWE } # Retaken by Sweden
# = { #owner = DAN #controller = DAN } # The Council accept Christian II as King
# = { #owner = SWE #controller = SWE } # Kalmar falls to Sweden
# = { religion = protestant}
# = { #controller = PLC } # Sigismund tries to reconquer his crown
# = { #controller = SWE } # Duke Karl get it back
# = { #controller = DAN } # The War of Kalmar-Captured by Christian IV
# = { #controller = SWE }# The Peace of Knäred
# = { base_manpower = 4 } # Småland did a huge contribution in number of regiments

