#303 - Saratow

#owner = GOL
#controller = GOL    
culture = mishary
religion = sunni
hre = no
base_tax = 3 
base_production = 3
trade_goods = grain   
base_manpower = 3
capital = "Ukek"
is_city = no
#add_core= GOL



discovered_by = high_american
discovered_by = high_american
discovered_by = indian
#discovered_by = nomad_group


# = { #owner = KAZ #controller = KAZ #add_core= KAZ remove_core = GOL } # Golden Horde destroyed by Crimea, Kazan acquires area
# = { #owner = RUS #controller = RUS #add_core= RUS remove_core = KAZ } # Russian conquest of Kazan
# = { capital = "Saratov" } # Construction of the Saratow fortress 
# = { culture = russian religion = orthodox }
# = { revolt = { type = anti_tax_rebels size = 2 name = "Stepan Razin" } #controller = REB unrest = 6 }
# = { revolt = { } #controller = RUS unrest = 0 } # Razin captured
# = { revolt = { type = anti_tax_rebels size = 2 name = "Yemelyan Pugachev" } #controller = REB unrest = 6 }
# = { revolt = {} #controller = RUS unrest = 0 } # Pugachev is captured
