#4129 - Ust-Vym

#owner = PRM
#controller = PRM
culture = uralic 
religion = orthodox
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Ust-Vym"
is_city = no
estate = estate_church #Bishop of Perm
#add_core= PRM
#add_core= NOV # Novgorodian claims
discovered_by = high_american
discovered_by = high_american
#discovered_by = nomad_group

# = {	remove_core = NOV } # Novgorod conquered
# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
	remove_core = PRM
	culture = russian 
}
# = { unrest = 5 } # "Time of troubles"
# = { unrest = 0 } # Order returned, Romanov dynasty


native_size = 5
native_ferocity = 1
native_hostileness = 3
