#4184 - Bizen

#owner = YMN
#controller = YMN
culture = japanese
religion = shinto
capital = "Okayama"
trade_goods = iron
hre = no
base_tax = 3
base_manpower = 2
base_production = 2
is_city = no
#add_core= YMN
#add_core= AKM
discovered_by = chinese
discovered_by = MCH
discovered_by = KHA
discovered_by = OIR
discovered_by = QNG

# = { #owner = AKM #controller = AKM }
# = { remove_core = YMN }
#   = { #add_core= AMA }
# = { discovered_by = POR }
# = { #owner = AMA #controller = AMA remove_core = AKM }
# = { #owner = MRI #controller = MRI remove_core = AMA }
# = { #add_core= ODA #owner = ODA #controller = ODA }
# = { #add_core= IKE #owner = IKE #controller = IKE remove_core = ODA }

native_size = 5
native_ferocity = 1
native_hostileness = 3
