#2017 - Shinano

#owner = OGS
#controller = OGS
culture = togoku
religion = shinto
capital = "Nagano"
trade_goods = grain
hre = no
base_tax = 2
base_manpower = 2
base_production = 2
is_city = no
#add_core= OGS
discovered_by = chinese
discovered_by = MCH
discovered_by = KHA
discovered_by = OIR
discovered_by = QNG
discovered_by = ANU

#   = { discovered_by = POR }
# = { #add_core= TKD } # Takeda Shingen expands into Shinano
# = { #owner = TKD #controller = TKD } # Fall of the Ogasawara Clan
# = { #add_core= ODA #owner = ODA #controller = ODA remove_core = TKD }
# = { #owner = TKG #controller = TKG #add_core= TKG remove_core = ODA }
