#466 - Sarai

#owner = GOL
#controller = GOL
culture = astrakhani
religion = sunni
capital = "Sarai"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= GOL
#add_core= AST



discovered_by = indian
discovered_by = indian
discovered_by = high_american
#discovered_by = nomad_group


# = { #owner = AST #controller = AST remove_core = GOL }
# = { #owner = RUS #controller = RUS #add_core= RUS remove_core = AST } # Russians acquire Volga after fall of Astrakhan
# = { culture = russian religion = orthodox }
# = { revolt = { type = anti_tax_rebels size = 2 name = "Stepan Razin" } #controller = REB unrest = 6 } # Razin rebellion
# = { revolt = { } #controller = RUS unrest = 0 } # Razin captured
# = { revolt = { type = anti_tax_rebels size = 2 name = "Yemelyan Pugachev" } #controller = REB unrest = 6 } # Pugachev rebellion
# = { revolt = {} #controller = RUS unrest = 0 } # Pugachev is captured
