#509 - Kangra

#owner = KGR
#controller = KGR
culture = panjabi
religion = hinduism
capital = "Kangra"
trade_goods = cotton
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1
is_city = no
#add_core= KGR



discovered_by = indian
discovered_by = indian 
discovered_by = indian
#discovered_by = nomad_group
discovered_by = chinese


# = { #controller = MUG } # Mughals
# = { #owner = MUG #add_core= MUG } # Mughals
# = { discovered_by = ENG }
# = {
	#controller = KGR
	#owner = KGR
	remove_core = MUG
}
# = { discovered_by = GBR }
# = { #controller = NPL }
# = { #controller = KGR }
