#636 - Brunei

#owner = BEI
#controller = BEI
culture = bornean
religion = sunni
capital = "Brunei"
trade_goods = spices
hre = no
base_tax = 7
base_production = 7
base_manpower = 4
is_city = no
#add_core= BEI



discovered_by = chinese
discovered_by = indian
discovered_by = indian
discovered_by = indian

extra_cost = 15

add_permanent_province_modifier = {
	name = center_of_trade_modifier
	duration = -1
}




# = { discovered_by = SPA }

# = { revolt = { type = revolutionary_rebels size = 2 } #controller = REB } # Civil war over succession
# = { revolt = {} #controller = BEI }
