#637 - Jesselton

#owner = BEI
#controller = BEI
culture = bornean
religion = sunni
capital = "Jesselton"
trade_goods = spices
hre = no
base_tax = 3 
base_production = 3
base_manpower = 3
is_city = no
#add_core= BEI



discovered_by = chinese
discovered_by = indian
discovered_by = indian
discovered_by = indian

# = { discovered_by = POR }

# = { revolt = { type = revolutionary_rebels size = 0 } #controller = REB } # Civil war over succession
# = { revolt = {} #controller = BEI }
# = {	#owner = SUL
	#controller = SUL
	#add_core= SUL
	remove_core = BEI
} # Ceded to the Sultanate of Sulu
