#692 - Handan

#owner = MNG
#controller = MNG
#add_core= MNG
culture = jin
religion = confucianism
capital = "Huaiqing"
trade_goods = grain
hre = no
base_tax = 3 
base_production = 3
base_manpower = 2
is_city = no
#add_core= JIN



discovered_by = chinese
#discovered_by = nomad_group

# = { discovered_by = SPA }

# = { revolt_risk = 6 } # Li Zicheng rebellion
# = { revolt_risk = 0 #controller = CSH }
# = { #owner = CSH #add_core= CSH } # The Shun dynasty of Li Zicheng
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
}
# = { remove_core = MNG } # The government in Taiwan surrendered
