#832 - Tunja

#owner = MCA
#controller = MCA
culture = muisca
religion = inti
capital = "Tunja"
is_city = no
trade_goods = salt
hre = no
base_tax = 5 
base_production = 5
base_manpower = 2
#add_core= MCA



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by =  south_american
discovered_by = MCA


# = {
	#discovered_by = SPA
	#owner = SPA
	#controller = SPA
	#add_core= SPA
	culture = castillian
	religion = catholic
	trade_goods = coffee
}
# = {
	#owner = COL
	#controller = COL
	#add_core= COL
} # Colombia declares independence
# = { remove_core = SPA } # Colombia's independence is recongnized
