#918 - Tennessee

#owner = CHI
#controller = CHI
culture = chickasaw
religion = totemism
capital = "Tennessee"
trade_goods = grain
hre = no
base_tax = 2
base_production = 2
base_manpower = 1
is_city = no
#add_core= CHI
native_size = 15
native_ferocity = 7
native_hostileness = 2



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group

# = { discovered_by = SPA } # Hernando de Soto

# = { unrest = 3 } # Frictions between the French & the indians
#= { #owner = USA
	#controller = USA
	#add_core= USA
	culture = american
	religion = protestant 
} #Treaty of Hopewell (with the Chickasaw), come under US authority
